Author	Web of Science citations	Web of Science H­Index
Eugene Garfield*	93.551	65
Loet Leydesdorff	15.345	63
Mike Thelwall	11.789	56
Wolfgang Glänzel	8.849	54
Lutz Bornmann	8.524	45
András Schubert	6.723	41
Anthony (Ton) F.J. van Raan	6.669	46
Ludo Waltman	6.249	36
Henk F. Moed	5.737	39
Henry Small	5.504	29
Francis Narin	5.336	32
Vincent Larivière	5.249	35
Nees Jan van Eck	4.941	31
Ben R Martin	4.785	28
Blaise Cronin	4.399	31
Tibor Braun	3.990	33
Ismael Rafols	3.850	27
Thed van Leeuwen	3.665	31
HD Daniel	3.648	30
Kevin W. Boyack	3.570	28
Koenraad Debackere	3.179	29
Cassidy R. Sugimoto	3.174	27
Judit Bar-Ilan	3.164	31
Howard D. White	3.052	22
Chaomei Chen	3.023	21
Félix de Moya Anegón	2.970	29
Michael J. Moravcsik	2.828	26
Katherine W. McCain	2.800	23
Robert J.W. Tijssen	2.778	27
Peter Ingwersen	2.479	24
Ronald Rousseau	2.407	25
Giovanni Abramo	2.367	28
Ciriaco Andrea D'Angelo	2.348	28
Johan Bollen	2.225	18
Belver C. Griffith	2.177	17
Katy Borner	2.175	21
Rodrigo Costas	2.146	25
J Sylvan Katz	2.117	11
Paul Wouters	2.017	19
Stefanie Haustein	2.014	18
Georgios Paltoglou	2.007	14
Ruediger Mutz	1.930	21
Jan Youtie	1.920	22
Caroline S. Wagner	1.904	17
Peter Jacso	1.733	20
Diana Hicks	1.720	14
Lokman Meho	1.704	14
Bart Thijs	1.608	22
Jens Terliesner	1.608	22
Werner Marx	1.603	23
Ian Rowlands	1.597	25
Kayvan Kousha	1.518	22
John S. Liu	1.499	18
Emilio Delgado López-Cózar	1.468	21
Bertram C. Brookes	1.400	18
Peter Van den Besselaar	1.370	21
Erjia Yan	1.367	21
Fiorenzo Franceschini	1.349	19
Jevin D. West	1.343	15
Eric Archambault	1.304	14
Cinzia Daraio	1.247	8
Mario Coccia	1.216	23
Jesper W. Schneider	1.214	19
Svein Kyvik	1.200	21
Rafael Aleixandre-Benavent	1.180	17
Mustar Philippe	1.159	12
Maite barrios	1.147	21
Vicente Pablo Guerrero Bote	1.144	19
Juan Gorraiz	1.052	21
Isidro F. Aguillo	1.040	17
Javier Ruiz-Castillo	1.006	17
Evaristo Jimenez-Contreras	983	18
Stefan Darmoni	977	14
Staša Milojević	959	18
Daniel Torres-Salinas	956	17
José Luis Ortega	930	17
Magnus Gulbrandsen	909	13
Ulf Sandström	878	14
Philippe Mongeon	871	11
Guido Van Hooydonk	849	14
Massimo Franceschet	797	16
Ping Zhou	761	13
Zaida Chinchilla-Rodríguez	739	14
Andrea Scharnhorst	731	17
Benjamín Vargas-Quesada	703	14
Kim Holmberg	634	15
Chaoqun Ni	626	12
Xiaozhong Liu	619	13
RR Braam	594	7
Victor Herrero-Solana	593	10
Dangzhi Zhao	588	13
Adèle Paul-Hus	585	8
Nicolás Robinson-García	572	14
Michael E. D. Koenig	555	11
Alesia Zuccala	553	14
Tim Engels	551	12
Zohreh Zahedi	550	7
Terttu Luukkonen	543	13
Li Tang 唐莉	521	14
Enrique Orduna-Malea	519	12
Fereshteh Didegah	518	10
G Steven McMillan	515	10
Björn Hammarfelt	504	12
Rickard Danell	501	9
Lennart Björneborn	487	6
Birger Larsen	483	13
Radhamany Sooryamoorthy	480	13
Hyunseok Park	468	12
Gohar Feroz Khan	460	14
Robert D. Shelton	459	11
Tove Faber Frandsen	450	13
Andreas Strotmann	427	10
Jeppe Nicolaisen	422	10
Raf Guns	416	11
Christian Schloegl	410	12
Antonio Perianes-Rodríguez	408	11
Bart Van Looy	397	25
Alberto Martín-Martín	392	11
Ricardo Arencibia Jorge	390	8
Elias Sanz-Casado	381	10
Fredrik Åström	381	9
Sven Hemlin	379	11
Samuel C Bradford	373	7
Elena Corera-Álvarez	366	8
Ehsan Mohammadi	358	7
Matthew L. Wallace	349	9
Joaquín M. Azagra-Caro	345	11
Valentina Markusova	335	10
Elea Giménez-Toledo	333	10
Hervé Rostaing	326	8
OB Onyancha	321	11
Pablo Dorta-González	319	11
Sebastian K Boell (Böll)	319	8
Rafael Ruiz-Perez	311	9
Marie E McVeigh	305	4
Nele Dexters	305	4
Gali Halevi	303	9
Antonio Fernández-Cano	300	9
Emanuela Reale	294	10
Álvaro Cabezas-Clavijo	284	10
Raul-Isaac Mendez-Vasquez	276	7
David 'the' Stuart	275	8
Dalibor Fiala	269	10
Liney Manjarres-Henríquez	267	5
Philipp Mayr	265	9
Alan Pritchard	264	8
Aparna Basu	259	10
Farideh Osareh	255	8
Claire Donovan	253	8
Jose Maria López Piñero	235	7
Suzana Mueller	233	5
John Rigby	231	8
Sandra Miguel	230	8
Daniela De Filippo	216	8
Kim-Leng Goh	213	9
Carlos Olmeda-Gomez	211	8
Heting Chu	211	8
Frederik Verleysen	207	8
Máxima Bolaños-Pizarro	199	8
Marianne Gauffriau	193	4
Rigas Arvanitis	193	7
Shenmeng Xu	190	8
B. S.Kademani	188	9
Edgar Schiebel	187	8
Antonio Pulgarin	185	9
Chris Belter	183	7
Diana Lucio-Arias	181	6
Rogério Mugnaini	154	5
Umut Al	152	7
Amit Kumar Bandyopadhyay	150	7
J. Carlos García-Zorita	150	8
Bhaskar Mukherjee	147	6
Leandro Innocentini Lopes de Faria	146	8
Cristian Colliander	143	6
Rosa Scoble	139	2
Swapan kumar Patra	137	6
Hajar Sotudeh	134	7
Sybille Hinze	133	6
Nader Ale Ebrahim	121	7
Hedman Juha	119	6
Borja González-Albo Manglano	116	6
Lea Velho	112	5
Wouter Gerritsma	112	4
Jose Navarrete	110	4
Adrián A. Díaz-Faes	104	6
Berenika M. Webster	104	6
Clara Calero	100	3
Ifeanyi J. Ezema	96	6
Maria Victoria Guzman Sánchez	90	5
Luc Marie Quoniam	88	5
Martin Meyer	86	4
Jens Peter Andersen	83	4
Vasily V. Nalimov	83	4
Orlando Gregorio-Chaviano	81	4
Kamal Badar	80	4
Matthias Weber	80	4
Maja Jokić	79	5
Carole Probst	77	5
Jadranka Stojanovski	77	5
Eustache Mêgnigbêto	76	5
Mohammad-Hossein Biglu	76	5
Leslie Adriaanse	68	2
B. Elango	62	4
Carlos Benito Amat	57	4
Sibele Fausto	55	2
Jan Maluleka	54	3
Olle Persson	54	20
Ephrance Abu Ujum	53	3
Faramarz Soheili	44	3
